Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000166006	KCNC2	protein_coding	0	11.456046548358994	0.384	0	0	81	0	ENSG00000166006
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000183844	FAM3B	protein_coding	2.406292264269806e-286	10.93335273022293	0.357	0	5.481774407233045e-282	55	0	ENSG00000183844
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143194	MAEL	protein_coding	1.1208936663764676e-189	7.622114046226848	0.267	0.002	2.5535078613722308e-185	34	0	ENSG00000143194
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000111341	MGP	protein_coding	5.604790170172551e-183	4.673500364013748	0.981	0.268	1.276827248667009e-178	11458	346	ENSG00000111341
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000187546	AGMO	protein_coding	7.775819472388614e-172	5.612535993471356	0.345	0.013	1.7714094340048502e-167	46	1	ENSG00000187546
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198054	DSCR8	lncRNA	1.4493009700132047e-156	3.8462386416784953	0.558	0.064	3.301652539787082e-152	70	5	ENSG00000198054
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000134184	GSTM1	protein_coding	2.2257024036498587e-156	7.755271115813116	0.229	0.003	5.0703726457547434e-152	23	0	ENSG00000134184
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000104324	CPQ	protein_coding	1.156863652999477e-145	3.133976198428101	0.721	0.133	2.6354510878981083e-141	218	18	ENSG00000104324
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106511	MEOX2	protein_coding	7.167576909950147e-139	4.866732107658556	0.287	0.011	1.632845695855743e-134	44	1	ENSG00000106511
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000106366	SERPINE1	protein_coding	4.0962860857412727e-135	4.796742112538457	0.465	0.05	9.331749331927193e-131	157	4	ENSG00000106366
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000120899	PTK2B	protein_coding	1.7534695760115802e-129	8.163636130998846	0.473	0.059	3.9945790411119806e-125	1520	3	ENSG00000120899
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000204389	HSPA1A	protein_coding	6.283433127050781e-127	3.4475801966698407	0.973	0.688	1.4314289006734384e-122	1613	169	ENSG00000204389
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000072694	FCGR2B	protein_coding	4.8139092570707306e-123	4.566148199	0.636	0.132	1.096656667853283e-118	246	8	ENSG00000072694
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185155	MIXL1	protein_coding	2.1989610572639982e-121	6.9505915094316775	0.221	0.006	5.0094531845531145e-117	20	0	ENSG00000185155
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000174748	RPL15	protein_coding	2.8344783154927115e-118	-1.669431269	0.984	0.996	6.4572250505239465e-114	922	3211	ENSG00000174748
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000120738	EGR1	protein_coding	1.547203295848528e-115	2.833808569271132	0.961	0.663	3.524683828272532e-111	1144	151	ENSG00000120738
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198597	ZNF536	protein_coding	7.3948073132858e-114	4.163426489	0.205	0.006	1.6846110540396382e-109	29	0	ENSG00000198597
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000118640	VAMP8	protein_coding	8.084490107911973e-113	3.231960737305289	0.492	0.071	1.8417276914834264e-108	68	5	ENSG00000118640
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000167772	ANGPTL4	protein_coding	1.4605406290953234e-111	4.272458892118498	0.632	0.137	3.327257607142056e-107	388	16	ENSG00000167772
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000137154	RPS6	protein_coding	8.224089761240607e-111	-1.805824712	0.977	0.995	1.8735298885082227e-106	890	3359	ENSG00000137154
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185664	PMEL	protein_coding	8.761784515410964e-110	-4.114512952	0.233	0.913	1.9960221304557717e-105	170	3449	ENSG00000185664
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000121316	PLBD1	protein_coding	2.0280848140100468e-109	3.7605114457145046	0.345	0.031	4.620180014796288e-105	48	2	ENSG00000121316
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000122406	RPL5	protein_coding	2.761200469020296e-109	-1.666294902	0.961	0.991	6.290290788475137e-105	659	2135	ENSG00000122406
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000258616	LINC02303	lncRNA	2.5105149281160205e-105	6.763671836133465	0.147	0.001	5.719204057741106e-101	16	0	ENSG00000258616
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000162407	PLPP3	protein_coding	1.248735806131706e-101	3.709901131	0.318	0.028	2.8447450399486396e-97	40	2	ENSG00000162407
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000145730	PAM	protein_coding	2.1266298038525352e-99	4.0678815585099635	0.403	0.054	4.8446753561564606e-95	75	3	ENSG00000145730
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000234840	LINC01239	lncRNA	6.33797246096155e-99	4.228159642190792	0.322	0.03	1.4438535063316507e-94	45	2	ENSG00000234840
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000141293	SKAP1	protein_coding	3.2161291684591856e-97	5.021540892171275	0.252	0.016	7.326663858666871e-93	24	1	ENSG00000141293
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000129538	RNASE1	protein_coding	1.8361102170813739e-96	2.7254150696641775	0.938	0.444	4.182842685533078e-92	1261	227	ENSG00000129538
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000130518	IQCN	protein_coding	9.408730545293194e-96	4.6007183740597375	0.337	0.036	2.1434029055232424e-91	50	2	ENSG00000130518
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000132002	DNAJB1	protein_coding	2.326855413642257e-95	2.2586630764756985	0.953	0.827	5.300809317818426e-91	858	208	ENSG00000132002
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000227392	HPN-AS1	lncRNA	5.940988224934811e-95	4.488564332968083	0.364	0.044	1.3534165275223992e-90	40	3	ENSG00000227392
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000196189	SEMA4A	protein_coding	2.0427020360587893e-92	3.647261581473172	0.558	0.128	4.653479508345528e-88	181	13	ENSG00000196189
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000174444	RPL4	protein_coding	1.9303625677456984e-91	-1.798486445	0.934	0.973	4.397558965581476e-87	463	1780	ENSG00000174444
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000175544	CABP4	protein_coding	3.4166362963478995e-91	5.301953562661758	0.159	0.004	7.783439146710149e-87	13	0	ENSG00000175544
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000136156	ITM2B	protein_coding	4.6644889386105597e-91	1.5848360856225414	0.977	0.929	1.0626172251048716e-86	1209	382	ENSG00000136156
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000134986	NREP	protein_coding	7.227998824839573e-91	2.6797928936037647	0.57	0.12	1.6466104122867034e-86	89	16	ENSG00000134986
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000198883	PNMA5	protein_coding	6.633277409860971e-90	8.936957265375085	0.12	0.001	1.511126926740428e-85	24	0	ENSG00000198883
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000010704	HFE	protein_coding	2.7867007958089803e-89	4.220382812078915	0.221	0.013	6.348383082932438e-85	20	1	ENSG00000010704
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000079931	MOXD1	protein_coding	8.52163523519799e-89	3.1979026079157284	0.422	0.065	1.941313722930454e-84	70	5	ENSG00000079931
