Study	cluster	gene	hgnc_symbol	gene_biotype	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	Responder_CPM	Non_responder_CPM	ensembl_core
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000129824	RPS4Y1	protein_coding	0	2.2882448652879672	0.775	0.112	0	760	147	ENSG00000129824
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185883	ATP6V0C	protein_coding	0	2.8412920659264578	0.781	0.14	0	271	44	ENSG00000185883
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000170296	GABARAP	protein_coding	0	2.4011981837446115	0.872	0.314	0	365	68	ENSG00000170296
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000197943	PLCG2	protein_coding	0	-5.613110674	0.139	0.668	0	21	342	ENSG00000197943
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000132692	BCAN	protein_coding	0	4.2682665476632575	0.824	0.326	0	1570	78	ENSG00000132692
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000117122	MFAP2	protein_coding	0	2.7061352690699563	0.681	0.194	0	202	23	ENSG00000117122
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000243678	NME2	protein_coding	0	2.1808611486088574	0.809	0.345	0	447	93	ENSG00000243678
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000149925	ALDOA	protein_coding	0	2.496896754	0.88	0.421	0	846	153	ENSG00000149925
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000104833	TUBB4A	protein_coding	0	2.9092952490648436	0.764	0.339	0	272	51	ENSG00000104833
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000233016	SNHG7	lncRNA	0	2.3444782444526755	0.913	0.568	0	588	136	ENSG00000233016
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163463	KRTCAP2	protein_coding	0	1.7346358708102385	0.894	0.62	0	469	132	ENSG00000163463
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000132341	RAN	protein_coding	0	1.6818592867023365	0.955	0.732	0	865	318	ENSG00000132341
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163468	CCT3	protein_coding	0	1.4390846204718166	0.966	0.756	0	826	371	ENSG00000163468
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000135486	HNRNPA1	protein_coding	0	1.5053434439903937	0.989	0.82	0	1366	562	ENSG00000135486
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000197111	PCBP2	protein_coding	0	1.1661742137633935	0.965	0.8	0	579	277	ENSG00000197111
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000110651	CD81	protein_coding	0	-1.763007585	0.795	0.944	0	230	763	ENSG00000110651
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143198	MGST3	protein_coding	0	1.3721431755103064	0.971	0.828	0	885	370	ENSG00000143198
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000135390	ATP5MC2	protein_coding	0	1.606864870998201	0.979	0.864	0	1808	600	ENSG00000135390
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000212907	MT-ND4L	protein_coding	0	1.6375537017905186	0.976	0.896	0	5258	1520	ENSG00000212907
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000171858	RPS21	protein_coding	0	1.2167005507121722	0.994	0.957	0	2998	1289	ENSG00000171858
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000196262	PPIA	protein_coding	0	1.030857620517708	0.991	0.96	0	2165	1059	ENSG00000196262
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000197728	RPS26	protein_coding	0	1.2210255650912143	0.992	0.967	0	2568	919	ENSG00000197728
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000251562	MALAT1	lncRNA	0	-1.600226653	0.974	0.997	0	11370	34577	ENSG00000251562
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000096384	HSP90AB1	protein_coding	0	1.1250148006477003	0.999	0.991	0	4760	2242	ENSG00000096384
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000229117	RPL41	protein_coding	0	0.9696726629201846	1	0.997	0	8601	4408	ENSG00000229117
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000182768	NGRN	protein_coding	2.0809412074953345e-307	1.8747169447784666	0.768	0.263	4.7405921647951213e-303	169	48	ENSG00000182768
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163479	SSR2	protein_coding	1.456594111984901e-306	1.4032406145398184	0.958	0.791	3.318267046512803e-302	834	328	ENSG00000163479
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000142534	RPS11	protein_coding	1.0045656663823349e-303	-1.163716471	0.942	0.99	2.288501044585597e-299	898	1864	ENSG00000142534
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000122705	CLTA	protein_coding	8.865958660318612e-299	1.424192417648676	0.946	0.711	2.019754042407183e-294	658	314	ENSG00000122705
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000188846	RPL14	protein_coding	8.325038593176034e-298	0.9508426372227019	0.996	0.974	1.8965270419114323e-293	3577	2066	ENSG00000188846
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000144713	RPL32	protein_coding	1.2218245033943997e-297	1.0185734188681597	0.999	0.995	2.783438401182782e-293	6007	2722	ENSG00000144713
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000004779	NDUFAB1	protein_coding	1.9099741950636367e-291	1.3761075074061369	0.918	0.676	4.351112213774471e-287	429	192	ENSG00000004779
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000245532	NEAT1	lncRNA	2.0390408960582412e-290	-1.485405667	0.933	0.956	4.645139065310279e-286	1702	4408	ENSG00000245532
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000185686	PRAME	protein_coding	6.207092240651965e-289	1.2590373394075822	0.966	0.585	1.414037683342924e-284	480	239	ENSG00000185686
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000123892	RAB38	protein_coding	2.1804661585347594e-285	1.7234561330619744	0.868	0.454	4.9673199557580353e-281	290	99	ENSG00000123892
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000124702	KLHDC3	protein_coding	2.3997208401390227e-283	2.1023479373717446	0.762	0.372	5.466804045920708e-279	146	35	ENSG00000124702
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143252	SDHC	protein_coding	2.148570536048957e-282	1.3914759931083878	0.933	0.724	4.8946585381731286e-278	455	173	ENSG00000143252
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000136003	ISCU	protein_coding	8.148251119727399e-280	1.7930043916132172	0.827	0.46	1.8562530875850987e-275	175	57	ENSG00000136003
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163584	RPL22L1	protein_coding	3.786390829102264e-279	1.8780255160881838	0.873	0.561	8.625776947777868e-275	404	115	ENSG00000163584
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000090661	CERS4	protein_coding	4.277065364878062e-279	2.634146058509029	0.698	0.258	9.743582607728714e-275	97	23	ENSG00000090661
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000143612	C1orf43	protein_coding	5.782870720870224e-277	1.2913726036239428	0.932	0.723	1.3173957789214457e-272	482	208	ENSG00000143612
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000186468	RPS23	protein_coding	6.551353519094473e-277	0.977253177	0.998	0.954	1.4924638451849116e-272	5840	3233	ENSG00000186468
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000171863	RPS7	protein_coding	1.3711952578990634e-274	0.9515228973079095	0.999	0.952	3.1237199170198563e-270	5263	3090	ENSG00000171863
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000145741	BTF3	protein_coding	4.756201792804365e-274	1.024395161932273	0.982	0.851	1.0835103304187624e-269	1626	931	ENSG00000145741
Pozniak_Mel_PMID38181739_2024	malignant cell	ENSG00000163931	TKT	protein_coding	7.359810607146611e-274	1.348102078148965	0.928	0.671	1.6766384544140695e-269	546	272	ENSG00000163931
